City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bluff,NZ,59.32,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
3,Hokitika,NZ,67.71,broken clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
4,Busselton,AU,77.09,clear sky,-33.65,115.3333,Observatory Guest House
5,Isangel,VU,78.91,drizzle,-19.55,169.2667,Tanna Lodge
7,Barra Do Garcas,BR,71.82,light rain,-15.89,-52.2567,Hotel Pousada Tropical
8,Lebu,CL,58.41,clear sky,-37.6167,-73.65,Hostal Las Lilas
9,Lasa,IT,47.66,few clouds,46.6166,10.7002,Pension Feldgärtenhof
10,Castro,BR,59.86,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
12,Nkowakowa,ZA,60.85,overcast clouds,-23.8878,30.2871,Moytel 966A Guest House & Spa
13,Saint-Philippe,RE,76.55,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
14,Rikitea,PF,76.98,overcast clouds,-23.1203,-134.9692,People ThankYou
16,Bundaberg,AU,87.22,broken clouds,-24.85,152.35,Takalvan Motel
17,Kapaa,US,80.11,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Husavik,IS,33.71,overcast clouds,66.0449,-17.3389,Bjarnabúð
19,Constitucion,CL,58.39,scattered clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
20,Alyangula,AU,85.87,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
21,Ushuaia,AR,44.26,light rain,-54.8,-68.3,Albatross Hotel
22,Kandava,LV,37.33,overcast clouds,57.0409,22.7747,Tourism and Relaxation Centre Plosti
23,Vanimo,PG,80.26,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
24,Faya,SA,52.32,clear sky,18.3851,42.4509,املاك خالد الشعشوع
25,Kaitangata,NZ,56.28,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
27,Singleton,AU,83.44,broken clouds,-32.5667,151.1833,Quest Singleton
30,Passo De Camaragibe,BR,78.35,overcast clouds,-9.2368,-35.4901,Chácara vovó candinha
33,Loreto,MX,59.95,clear sky,22.2667,-101.9667,José de Jesús Velásquez mora
34,Sao Joao Da Barra,BR,75.88,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
35,Chuy,UY,65.79,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
36,Carnarvon,AU,78.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
38,Torbay,CA,40.28,heavy intensity rain,47.6666,-52.7314,Gallows Cove
41,Mahibadhoo,MV,81.57,scattered clouds,3.7833,72.9667,Omadhoo Inn
42,Mar Del Plata,AR,73.87,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
44,Saint-Pierre,RE,76.64,few clouds,-21.3393,55.4781,Lindsey Hôtel
45,Port Hedland,AU,89.65,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
46,Saint-Joseph,RE,75.56,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
47,Peniche,PT,56.68,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
48,Wanganui,NZ,76.73,clear sky,-39.9333,175.05,Aotea Motor Lodge
49,Mataura,NZ,56.73,overcast clouds,-46.1927,168.8643,Ellie's Villa
50,Iracoubo,GF,75.83,clear sky,5.4802,-53.2011,Le Gîte d’Iracoubo
51,Gat,IL,49.41,clear sky,31.61,34.7642,OlusHome
52,Veraval,IN,65.75,clear sky,20.9,70.3667,Lords Inn Somnath
53,Avarua,CK,82.45,few clouds,-21.2078,-159.775,Paradise Inn
55,Faanui,PF,80.65,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
56,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
57,Donskoye,RU,33.93,snow,45.4552,41.9741,
58,Saint-Francois,FR,39.67,mist,46.4154,3.9054,Manoir Du Bonheur
59,Buraydah,SA,48.47,clear sky,26.326,43.975,فندق راحة السلام
60,Birao,CF,62.38,broken clouds,10.2849,22.7882,
62,Touros,BR,76.1,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
63,Kununurra,AU,85.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
64,Georgetown,MY,82.33,haze,5.4112,100.3354,Cititel Penang
65,San Lawrenz,MT,50.86,clear sky,36.0553,14.204,San Andrea Hotel
66,Cabo San Lucas,MX,75.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
68,Laguna,US,60.66,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
71,Hilo,US,76.8,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
73,Calvinia,ZA,77.56,clear sky,-31.4707,19.776,Die Lemoenhuis
75,Pontes E Lacerda,BR,71.8,light rain,-15.2261,-59.3353,Hotel Bressan
76,Port Alfred,ZA,68.45,few clouds,-33.5906,26.891,The Halyards Hotel
77,Montelibano,CO,75.33,few clouds,7.9829,-75.4229,Montelíbano Plaza Hotel
78,Hermanus,ZA,65.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
80,Morelia,MX,65.34,overcast clouds,19.7008,-101.1844,"Hotel Alameda Morelia, Centro Histórico"
82,Tuatapere,NZ,61.56,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
84,Kailua,US,80.15,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
86,Port Lincoln,AU,70.88,clear sky,-34.7333,135.8667,Port Lincoln Hotel
88,New Norfolk,AU,76.66,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
90,Atuona,PF,77.77,light rain,-9.8,-139.0333,Villa Enata
92,Marawi,PH,73.65,broken clouds,7.9986,124.2928,Derogongan Residence
93,Vao,NC,79.72,few clouds,-22.6667,167.4833,Hotel Kou-Bugny
95,Russell,US,37.0,clear sky,32.3502,-85.1999,Macs
96,Taltal,CL,66.36,clear sky,-25.4,-70.4833,Residencial Karime
98,Tenabo,MX,68.0,clear sky,20.05,-90.2333,Hotel Mangrove King Fishing
99,Vaini,TO,81.77,light rain,-21.2,-175.2,Keleti Beach Resort
100,Porto Belo,BR,75.16,overcast clouds,-27.1578,-48.5531,Costa Verde Beach Hotel
101,Tombouctou,ML,71.08,overcast clouds,20.0,-3.0,
103,Victoria,HK,56.17,broken clouds,22.2855,114.1577,Mini Hotel Central
106,Lixourion,GR,46.24,clear sky,38.2019,20.4314,Hotel Summery
107,Hithadhoo,MV,80.76,broken clouds,-0.6,73.0833,Scoop Guest House
108,Tezu,IN,50.05,clear sky,27.9167,96.1667,Circuit House
109,Rocha,UY,64.04,clear sky,-34.4833,-54.3333,Hotel Arrarte
110,San Quintin,MX,61.97,clear sky,30.4833,-115.95,Don Eddie's Landing
112,Makhinjauri,GE,37.26,overcast clouds,41.6739,41.694,Golden Anchor
113,Cape Town,ZA,70.21,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
115,Caraballeda,VE,82.47,few clouds,10.6112,-66.8522,Hotel 15 Letras
117,Bredasdorp,ZA,65.28,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
120,Constantine,DZ,33.21,clear sky,36.365,6.6147,Grand Hotel Cirta
121,Airai,TL,66.16,overcast clouds,-8.9266,125.4092,
122,Kaliua,TZ,66.22,overcast clouds,-5.0606,31.7936,Millennium Complex
123,Grand Island,US,46.02,clear sky,40.925,-98.342,Fairfield Inn & Suites by Marriott Grand Island
124,Hobart,AU,77.02,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
126,Saldanha,ZA,60.85,clear sky,-33.0117,17.9442,Blue Bay Lodge
127,Souillac,MU,79.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
128,Sitka,US,37.29,overcast clouds,57.0531,-135.33,Westmark Sitka
130,Mangrol,IN,63.86,clear sky,21.1167,70.1167,Hotel The Royal Honours
131,Melbu,NO,30.31,overcast clouds,68.5044,14.8297,Melbu Hotel
132,Cukai,MY,77.14,clear sky,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
133,Luanda,AO,78.8,scattered clouds,-8.8368,13.2343,Hotel Fórum
134,Lorengau,PG,84.6,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
135,East London,ZA,69.33,clear sky,-33.0153,27.9116,Tu Casa
136,Talcahuano,CL,62.28,overcast clouds,-36.7167,-73.1167,departamento comodo
137,Punta Arenas,CL,50.11,clear sky,-53.15,-70.9167,Hotel Hain
138,Salalah,OM,68.09,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
140,Issaquah,US,50.23,overcast clouds,47.5301,-122.0326,Hilton Garden Inn Seattle/Issaquah
141,Marzuq,YE,58.69,clear sky,14.4,46.4667,
142,Douentza,ML,69.96,clear sky,14.9951,-2.9517,Ogomono Doumbo
143,Sao Filipe,CV,70.63,scattered clouds,14.8961,-24.4956,Hotel Xaguate
144,Codrington,AU,71.76,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
146,Ponezhukay,RU,34.84,overcast clouds,44.8876,39.3855,
147,Coihaique,CL,50.61,light rain,-45.5752,-72.0662,Diego De Almagro Coyhaique
148,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
151,Winneba,GH,77.94,scattered clouds,5.3511,-0.6231,Windy Lodge & Beach Resort
152,San Patricio,US,55.49,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
154,Yavaros,MX,66.7,overcast clouds,26.7,-109.5167,
155,Vestmannaeyjar,IS,41.0,overcast clouds,63.4427,-20.2734,Glamping & Camping
156,Puerto Ayora,EC,73.96,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
157,Ukiah,US,61.43,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
158,Harper,LR,78.8,clear sky,4.375,-7.7169,Screensaver
160,Machico,PT,63.68,scattered clouds,32.7,-16.7667,Dom Pedro Madeira Hotel
161,Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,Hostel Del Puerto
162,Coahuayana,MX,83.68,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
163,Ambulu,ID,80.19,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
164,Praia Da Vitoria,PT,57.45,scattered clouds,38.7333,-27.0667,Hotel Branco I
165,Nizwa,OM,64.18,clear sky,22.9333,57.5333,Orient Apartments
166,Yulara,AU,78.64,overcast clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
168,Progreso,MX,67.1,overcast clouds,21.2833,-89.6667,Playa Linda Hotel
170,Danilovka,RU,30.04,light snow,50.3557,44.1168,
172,Waipawa,NZ,71.29,clear sky,-41.4122,175.5153,Tora Coastal Walk
173,Los Llanos De Aridane,ES,58.75,haze,28.6585,-17.9182,Valle Aridane
174,Nishihara,JP,64.06,overcast clouds,26.1842,127.7558,Minshuku Agaihama
175,Santa Isabel Do Rio Negro,BR,75.09,moderate rain,-0.4139,-65.0192,Hotel GSA
177,Bambous Virieux,MU,79.05,few clouds,-20.3428,57.7575,Casa Tia Villa
178,Samarai,PG,81.59,overcast clouds,-10.6167,150.6667,Nuli Sapi
179,Cedar City,US,38.39,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
181,Penzance,GB,46.76,clear sky,50.1186,-5.5371,Artist Residence Penzance
182,Port Elizabeth,ZA,66.49,clear sky,-33.918,25.5701,39 On Nile Guest House
183,Komsomolskiy,UZ,34.52,fog,40.4272,71.7189,Ikathouse
184,Ribeira Grande,PT,58.68,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
185,Port Shepstone,ZA,72.01,overcast clouds,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
186,Namatanai,PG,83.44,light rain,-3.6667,152.4333,Seagulls Inn Namatani
187,Bon Accord,CA,35.37,overcast clouds,53.8335,-113.4187,
188,Lompoc,US,65.12,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
190,Port Macquarie,AU,81.9,few clouds,-31.4333,152.9167,Rydges Port Macquarie
191,Turgutlu,TR,41.27,broken clouds,38.4953,27.6997,Palmcity Hotel Turgutlu
192,Flinders,AU,86.81,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
193,Hobyo,SO,75.09,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
194,Requena,ES,40.78,clear sky,39.4883,-1.1004,Hotel Avenida
195,Geraldton,AU,84.61,clear sky,-28.7667,114.6,Broadwater Mariner Resort
197,Vila Franca Do Campo,PT,57.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
199,Mahebourg,MU,79.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
201,Cardston,CA,42.1,overcast clouds,49.2,-113.3019,Flamingo Motel
202,Klaksvik,FO,32.92,overcast clouds,62.2266,-6.589,Airbnb rooms
203,Jos,NG,55.38,overcast clouds,9.9167,8.9,Silk Suites
204,Singaraja,ID,81.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
205,Macau,MO,55.2,scattered clouds,22.2006,113.5461,Grand Emperor Hotel
207,Planaltina,BR,71.89,overcast clouds,-15.4528,-47.6142,Retiro Maranata
208,Tecoanapa,MX,79.95,clear sky,16.5167,-98.75,Hotel Manglares
209,Ponta Do Sol,PT,63.23,few clouds,32.6667,-17.1,Hotel do Campo
210,Nouadhibou,MR,62.58,overcast clouds,20.931,-17.0347,El Medina
211,Hambantota,LK,73.74,few clouds,6.1241,81.1185,Bungalow 63
212,Butaritari,KI,82.56,broken clouds,3.0707,172.7902,Isles Sunset Lodge
213,Burnie,AU,70.95,few clouds,-41.0667,145.9167,Beachfront Voyager Motor Inn
214,Bilma,NE,56.32,clear sky,18.6853,12.9164,Expeditions Ténére voyages
215,Surab,PK,43.66,clear sky,28.4914,66.2585,Bismillah Hotel
216,Atar,MR,72.32,overcast clouds,20.5169,-13.0499,Oumou Elghoura
217,Kodiak,US,35.11,clear sky,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
218,Marovoay,MG,77.14,clear sky,-16.1,46.6333,Hôtel les Oliviers Marovoay
221,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
222,Sulangan,PH,81.01,scattered clouds,11.1373,123.7228,Maia's Beach Resort
223,Salto,UY,73.87,clear sky,-31.3833,-57.9667,Gran Hotel Uruguay
224,Presidencia Roque Saenz Pena,AR,76.03,clear sky,-26.7852,-60.4388,Hotel Gualok
225,Antalaha,MG,71.71,overcast clouds,-14.9003,50.2788,Hotel Vitasoa
226,Jablah,SY,48.49,few clouds,35.3614,35.9256,بستان صالح
227,Makakilo City,US,78.69,scattered clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
229,Gyanpur,IN,51.75,clear sky,25.35,82.4667,Shyam Dhar Yadav Shiv dhar Yadav
230,Harindanga,IN,53.58,clear sky,22.0383,88.3214,Hazi Home
231,Areka,ET,58.24,scattered clouds,7.0667,37.7,Selam Hotel ሰላም ሆቴል
232,Bermejo,AR,80.51,scattered clouds,-32.8833,-68.8,Muras Apart Hotel
234,Biaora,IN,53.69,clear sky,23.8667,76.9167,SARPANCH MOTEL HOTEL
235,Kita,ML,74.59,clear sky,13.0349,-9.4895,Hôtel Chat Rouge
236,Alice Springs,AU,76.55,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
237,Stornoway,GB,37.92,broken clouds,58.2093,-6.3865,Caladh Inn
238,Karratha,AU,85.82,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
239,Te Anau,NZ,57.42,light rain,-45.4167,167.7167,Kingsgate Hotel Te Anau
240,Shenjiamen,CN,40.84,light rain,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
241,Katsuura,JP,49.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
242,Nhulunbuy,AU,83.01,moderate rain,-12.2333,136.7667,East Arnhem Real Estate
243,Payo,ID,75.87,light rain,-3.7508,103.6372,Mess keban agung
244,Lake Wales,US,42.94,clear sky,27.9014,-81.5859,Vintage Inn Lake Wales
245,Balkanabat,TM,40.01,clear sky,39.5108,54.3671,Nebitchi Hotel
248,Si Bun Ruang,TH,77.59,clear sky,16.9667,102.2833,ที่พักอำเภอศรีบุญเรือง รีสอร์ทบ้านสวนอินน์ BANSUAN HOTEL
249,Mount Gambier,AU,69.71,overcast clouds,-37.8333,140.7667,The Commodore
253,Qeshm,IR,58.89,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
257,Esperance,AU,82.24,clear sky,-33.8667,121.9,Hospitality Esperance
260,Siva,EG,50.58,clear sky,29.2041,25.5195,Qasr Alzaytuna Inn
263,Koboko,UG,65.79,clear sky,3.4136,30.9599,Hotel Diplomat
264,Emerald,AU,88.34,clear sky,-23.5333,148.1667,The Irish Village
265,Ouegoa,NC,86.63,overcast clouds,-20.35,164.4333,
266,Adrar,MR,73.89,overcast clouds,20.5022,-10.0711,
269,Mount Isa,AU,82.17,broken clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
271,Aitape,PG,79.81,overcast clouds,-3.1374,142.3475,
272,Asau,RO,34.39,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
273,Douglas,US,45.46,clear sky,41.3,-96.167,Hilton Garden Inn Omaha West
275,Rio Grande,BR,70.95,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
276,Saint George,US,55.87,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
278,Valparaiso,CL,67.48,clear sky,-33.0393,-71.6273,Hotel Ultramar
279,Tabuk,PH,77.02,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
284,Grand-Lahou,CI,78.6,clear sky,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
286,Manyana,BW,69.55,broken clouds,-23.4,21.7167,
287,Farafangana,MG,74.75,few clouds,-22.8167,47.8333,Miarina
288,Kalmunai,LK,75.79,few clouds,7.4167,81.8167,VS Villa
290,Nara,JP,45.97,overcast clouds,34.6851,135.8049,Guesthouse Nara Komachi
291,Roseburg,US,54.34,clear sky,43.2165,-123.3417,"Holiday Inn Express Roseburg, an IHG Hotel"
292,Hasaki,JP,43.29,scattered clouds,35.7333,140.8333,Hotel Sunrise Choshi
294,Ferrol,ES,50.27,overcast clouds,43.4832,-8.2369,Parador de Ferrol
295,Bengkulu,ID,77.97,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
296,Kruisfontein,ZA,58.89,clear sky,-34.0033,24.7314,Oyster Bay House Rental
297,Arraial Do Cabo,BR,74.71,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
298,Bubaque,GW,78.62,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
299,Tiznit,MA,57.63,clear sky,29.5833,-9.5,
301,Dalby,AU,84.9,overcast clouds,-27.1833,151.2667,Kobbers Motor Inn Dalby
302,Matale,LK,69.76,scattered clouds,7.4721,80.6234,Anil's Inn
303,Nambucca Heads,AU,83.17,scattered clouds,-30.65,153.0,Marcel Towers Holiday Apartments
304,Oriximina,BR,73.08,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
305,Miles City,US,35.51,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
306,Yunyang,CN,32.7,clear sky,33.4474,112.7142,Post & Telecom Hotel
308,Takaka,NZ,74.68,clear sky,-40.85,172.8,Golden Bay Motels
310,Hirara,JP,66.06,mist,24.8,125.2833,Hotel Atoll Emerald Miyakojima
311,Slave Lake,CA,33.78,overcast clouds,55.2834,-114.769,Super 8 by Wyndham Slave Lake AB
312,Rock Springs,US,31.44,clear sky,41.5875,-109.2029,Homewood Suites by Hilton Rock Springs
313,Guiratinga,BR,71.13,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
315,Salta,AR,71.89,scattered clouds,-24.7859,-65.4117,Hotel Alejandro I
316,Muros,ES,51.24,few clouds,42.7762,-9.0603,Apartment Av. Castelao
317,Alofi,NU,85.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
318,Kumagaya,JP,46.67,broken clouds,36.1333,139.3833,R & B Hotel Kumagaya Station
319,Providencia,MX,78.85,clear sky,28.7167,-111.5833,
320,Rincon,US,39.85,clear sky,32.296,-81.2354,Days Inn Rincon
322,Half Moon Bay,US,62.87,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
324,Banda Aceh,ID,80.15,broken clouds,5.5577,95.3222,Sulthan Hotel International
325,Jalu,LY,53.56,overcast clouds,29.0331,21.5482,صاحبة الفخامة
326,Meulaboh,ID,76.55,scattered clouds,4.1363,96.1285,Kost Pria
327,Deloraine,AU,75.15,clear sky,-41.5333,146.6667,Mountain View Country Inn
328,Rio Verde De Mato Grosso,BR,72.39,light rain,-18.9181,-54.8442,Quedas Palace Hotel
329,Avera,US,35.71,clear sky,33.194,-82.5271,
330,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
332,Prudnik,PL,42.6,broken clouds,50.3212,17.5746,BIAŁA AKACJA Resort & Business
333,Oranjestad,AW,78.3,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
334,Bucak,TR,35.64,overcast clouds,37.4592,30.595,Gülay Apart
335,Koulikoro,ML,70.14,clear sky,14.0,-7.75,
336,Chabahar,IR,71.29,clear sky,25.2919,60.643,هتل گدروشیا
337,Atambua,ID,76.19,moderate rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
338,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
339,Purwodadi,ID,83.91,overcast clouds,-7.0868,110.9158,OYO 1620 Sion Family Residence
340,Baghdad,IQ,39.11,clear sky,33.3406,44.4009,Baghdad Hotel
341,Bonavista,CA,38.12,snow,48.6499,-53.1147,Abbott's Bed & Breakfast
342,Mulki,IN,74.48,clear sky,13.1,74.8,Karnire Camping Ground
343,Mocuba,MZ,70.39,few clouds,-16.8392,36.9856,Phama Lodge
344,Kuching,MY,79.02,few clouds,1.55,110.3333,The Ranee Boutique Suites
347,Hualmay,PE,70.27,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
348,Kirakira,SB,84.85,light rain,-10.4544,161.9205,SanBiz Lodge
349,Owando,CG,72.48,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
